Paper-like section,Text,Paper-like section_translation,Text_translation,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,ISARIC CORE CRF,Titre,ISARIC CORE CRF,,
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,Conception de ce cahier d'observation (CRF),Ce CRF se compose de modules pour la collecte les données relatives à  [PROJECT_NAME].  Un modèle d'instruction pour remplir le formulaire se trouve  ci-dessous. Il peut être adapté aux objectifs de votre collecte de données.,,
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,Formulaire de présentation,Toujours compléter au premier jour de présentation / d'admission /d' évaluation.,,
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,Formulaire de présentation,CHIMING / ÉVÉNEMENTS: Admission à l'hôpital / évaluation initiale,,
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,Formulaire quotidien,Toujours compléter au premier jour de présentation / d'admission /d' évaluation.,,
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",Formulaire quotidien,"Le cas échéant, compléter le jour de l'admission aux soins intensifs / Unité de dépendance élevée / soins intensifs (si différent de la date de la première présentation / de l'admission)",,
DAILY FORM, OPTION to complete on days that research specific samples are taken,Formulaire quotidien,Optionnel  à compléter les jours où des échantillons spécifiques sont prélevés,,
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,Formulaire quotidien,Optionnel à compléter quotidiennement si vous réalisez des analyses spécifiques.,,
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),Formulaire quotidien,TMING / ÉVÉNEMENTS: Admission à l'hôpital / évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif),,
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,Formulaire de résultat,Toujours completer à la sortie de hôpital  ou à la mort ou à la fin de la période d'étude,,
OUTCOME FORM,Timing /Events: Discharge / death / end of study,Formulaire de résultat,TIMING / ÉVÉNEMENTS:  Sortie de hôpital  / mort / fin d'étude,,
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),Formulaire de suivi,TIMING / ÉVÉNEMENTS: Selon le protocole de site (facultatif),,
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),Formulaire de retrait,TIMING / ÉVÉNEMENTS: Selon le protocole de site (facultatif),,
Follow-up details,Continue to follow-up patients who transfer between wards.,Détails de suivi,Continuez à suivre les patients qui sont transférés entre services.,,
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study,Timing / événements,Admission à l'hôpital / évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif) | Sortie de hôpital  / mort / fin d'étude,,
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,Instructions générales,Contactez l'Isaric Global Support Center à data@isaric.org,,
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",Instructions générales,"Le CRF est conçu pour collecter des données obtenues via un examen, un entretien, l'examen des notes de l'hôpital ou l'extraction des dossiers de santé électroniques.  Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé.",,
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,Instructions générales,Veuillez vous référer au Guide de remplissage du CRF pour des instructions détaillés sur la façon de remplir ces formulaires.,,
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",Instructions générales,"Votre institution peut capturer les données: <br/> (a) dans une base de données REDCap hébergée par ISARIC - contactez ISARIC pour obtenir l'accès, <br/> (b) dans une base de données REDCap hébergée par votre institution - Contactez ISARIC  si vous avez besoin d'aide pour configurer cette base, <br/> (c) dans une base de données ou un système de dossier médical informatisé de votre établissement – contacter ISARIC pour un accompagnement dans le mappage des données. ",,
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",Instructions générales,"Les numéros d'identification des participants se composent d'un code de site à 5 chiffres et d'un numéro de participant à 4 chiffres. <br/> Veuillez contacter ISARIC pour obtenir votre code de site et vous inscrire sur le système de gestion des donnée.  Les numéros des participants doivent être attribués séquentiellement pour chaque site commençant par 0001 ou en blocs, incluant éventuellement des caractères alphanumérique, lorsqu'ils sont utiles.  Par exemple, le site X attribuera des numéros à partir de 0001 ou A001 et le site Y attribuera les numéros à partir de 5001 ou B001.",,
GENERAL GUIDANCE,"For participants who return for re-admission to the same site, start a new form with a different Participant Identification Number. Please check ""YES-admitted previously to this facility"" in the RE-ADMISSION section. Enter as 2 separate records if you are using a REDCap (or similar) database. ",Instructions générales,"Pour les participants qui sont réadmis sur le même site, démarrez un nouveau formulaire avec un numéro d'identification des participants différent. Veuillez sélectionner  ""oui-admis précédemment dans ce site"" dans la section de réadmission. Entrez  2 enregistrements distincts si vous utilisez une base de données RedCap (ou une base similaire).",,
GENERAL GUIDANCE,"For participants who transfer between two sites that are both collecting data on this form, it is preferred to have the data entered by a single site as a single admission, under the same Participant Identification Number. When this is not possible, the first site should record ""Transfer to other facility"" as an OUTCOME, and the second site should start a new form with a new patient number and indicate ""YES-… then transferred to this facility"" in the RE-ADMISSION AND PREVIOUS PIN section. ",Instructions générales,"Pour les participants transférés entre deux sites qui collectent tous deux des données sur ce formulaire, il est préféré que les données soient entrées par un seul site en tant qu'une admission unique dans le même numéro d'identification des participants. Lorsque cela n'est pas possible, le premier site doit enregistrer ""Transfert vers une autre installation"" comme résultat, et le deuxième site doit démarrer un nouveau formulaire avec un nouveau numéro de patient et indiquer ""oui- ... puis transféré dans cette installation"" dans la réadmission et la section PIN précédente.",,
GENERAL GUIDANCE,Selections with circles () are single selection (choose one answer only). Selections with square boxes () are multiple selection (choose as many answers as are applicable). ,Instructions générales,Les choix avec cercles () requièrent une seule sélection (choisissez une seule réponse). Les choix avec des carrés () permettent plusieurs sélections (choisissez toutes les réponses applicables). ,,
