Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics+extended,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI,preset_Module_Pregmpoxnompox,preset_Module_Pregnancy,preset_Module_Neonates,preset_Module_Paediatric,preset_Module_ExtendedMpoxPregnan,preset_Recommended Outcomes_Dengue,preset_Hospitalsed Outcomes_Dengue,preset_Early Stage Outcomes_Dengue,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Pele,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Petéquias,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Nariz,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Gengivas,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Trato gastrointestinal,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Trato urinário,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Vagina,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Intracraniano,,,,,,,,,,,,,,,,,,1,1,1,,
Intraespinhal,,,,,,,,,,,,,,,,,,1,1,1,,
Intraocular,,,,,,,,,,,,,,,,,,1,1,1,,
Retroperitoneal,,,,,,,,,,,,,,,,,,1,1,1,,
Intra-articular,,,,,,,,,,,,,,,,,,1,1,1,,
Pericárdico,,,,,,,,,,,,,,,,,,1,1,1,,
Intramuscular (com síndrome compartimental),,,,,,,,,,,,,,,,,,1,1,1,,
