Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acromobacter,91620006,SNOMED,bacteria,,,,,,,,,,,1,,
Achromobacter xylosoxidans,413424009,SNOMED,bacteria,,,,,,,,,,,2,,
Acinetobacter,7757008,SNOMED,bacteria,,,,,,,,,,,3,,
Acinetobacter anitratus,82550008,SNOMED,bacteria,,,,,,,,,,,4,,
Acinetobacter baumannii,91288006,SNOMED,bacteria,,,,,,,,,,,5,,
Acinetobacter calcoacético,413398000,SNOMED,bacteria,,,,,,,,,,,6,,
Complejo Acinetobacter calcoaceticus-baumannii,113376007,SNOMED,bacteria,,,,,,,,,,,7,,
Acinetobacter johnsonii,252000,SNOMED,bacteria,,,,,,,,,,,8,,
acremonio,63996006,SNOMED,fungi,,,,,,,,,,,9,,
Actinomyces israelii,46369004,SNOMED,bacteria,,,,,,,,,,,10,,
adenovirus,424470006,SNOMED,virus,,,,,,,1,1,,,11,,
Aeromonas,88529008,SNOMED,bacteria,,,,,,,,,,,12,,
agregatibacter,441718002,SNOMED,bacteria,,,,,,,,,,,13,,
bacterias anaerobias,59343002,SNOMED,bacteria,,,,,,,,,,,14,,
Ancylostoma duodenal,81559006,SNOMED,"parasite, helminth",,,,,,,,,,,15,,
Ortohantavirus de los Andes,442001008,SNOMED,virus,,,,,,,,,,,16,,
Arenaviridae,243624009,SNOMED,virus,,,,,,,,,,,17,,
Ascaris lumbricoides,19061001,SNOMED,"parasite, helminth",,,,,,,,,,,18,,
Aspergilo,2429008,SNOMED,fungi,,,,,,,,,,,19,,
Aspergillus flavus,66821001,SNOMED,fungi,,,,,,,,,,,20,,
Aspergillus fumigatus,32684000,SNOMED,fungi,,,,,,,,,,,21,,
Complejo Aspergillus fumigatus,719029007,SNOMED,fungi,,,,,,,,,,,22,,
Aspergillus niger,89354002,SNOMED,fungi,,,,,,,,,,,23,,
Aspergillus terreus,26406003,SNOMED,fungi,,,,,,,,,,,24,,
Aspergillus versicolor,48315007,SNOMED,fungi,,,,,,,,,,,25,,
Astroviridae,424055004,SNOMED,virus,,,,,,,,,,,26,,
Influenza aviar A H5N1,772827006,SNOMED,virus,,,,,,,,,,,27,,
Influenza aviar A H7N9,609444009,SNOMED,virus,,,,,,,,,,,28,,
Bacilo,44762009,SNOMED,bacteria,,,,,,,,,,,29,,
Bacilo anthracis,21927003,SNOMED,bacteria,,,,,,,,,,,30,,
bacilo cereus,84408007,SNOMED,bacteria,,,,,,,,,,,31,,
Bacteroides fragilis,55247009,SNOMED,bacteria,,,,,,,,,,,32,,
Bacteroides thetaiotaomicron,34236001,SNOMED,bacteria,,,,,,,,,,,33,,
Blastocystis hominis,28923009,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,34,,
Blastomyces dermatitidis,65615007,SNOMED,fungi,,,,,,,,,,,35,,
Bocavirus (Género),430902006,SNOMED,virus,,,,,,,,,,,36,,
Bordetella pertussis,5247005,SNOMED,bacteria,,,,,,,,,,,37,,
brugia malayo,112443002,SNOMED,"parasite, helminth",,,,,,,,,,,38,,
Bunyaviridae (Familia),243615000,SNOMED,virus,,,,,,,,,,,39,,
Burkholderia,414324002,SNOMED,bacteria,,,,,,,,,,,40,,
Burkholderia cenocepacia,416941006,SNOMED,bacteria,,,,,,,,,,,41,,
Burkholderia cepacia,113669008,SNOMED,bacteria,,,,,,,,,,,42,,
Burkholderia pseudomallei,116399000,SNOMED,bacteria,,,,,,,,,,,43,,
Caliciviridae (Familia),243627002,SNOMED,virus,,,,,,,,,,,44,,
Campilobacter,35408001,SNOMED,bacteria,,,,,,,,,,,45,,
cándida,3265006,SNOMED,fungi,,,,,,,,,,,46,,
Candida albicans,53326005,SNOMED,fungi,,,,,,,,,,,47,,
Candida auris,3.49E+12,SNOMED,fungi,,,,,,,,,,,48,,
Candida dubliniensis,115952006,SNOMED,fungi,,,,,,,,,,,49,,
Candida glabrata,444877006,SNOMED,fungi,,,,,,,,,,,50,,
Candida inconspicua,283871001,SNOMED,fungi,,,,,,,,,,,51,,
ortopsilosis por cándida,3.69E+12,SNOMED,fungi,,,,,,,,,,,52,,
Candida parapsilosis,61302002,SNOMED,fungi,,,,,,,,,,,53,,
Candida tropicalis,47885008,SNOMED,fungi,,,,,,,,,,,54,,
