Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acromobacter,91620006.0,SNOMED,bacteria,1,,
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,2,,
Acinetobacter,7757008.0,SNOMED,bacteria,3,,
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,4,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,5,,
Acinetobacter calcoacético,413398000.0,SNOMED,bacteria,6,,
Complejo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,7,,
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,8,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,9,,
Aeromonas,88529008.0,SNOMED,bacteria,10,,
agregatibacter,441718002.0,SNOMED,bacteria,11,,
bacterias anaerobias,59343002.0,SNOMED,bacteria,12,,
Bacilo,44762009.0,SNOMED,bacteria,13,,
Bacilo anthracis,21927003.0,SNOMED,bacteria,14,,
bacilo cereus,84408007.0,SNOMED,bacteria,15,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,16,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,17,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,18,,
Burkholderia,414324002.0,SNOMED,bacteria,19,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,20,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,21,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,22,,
Campilobacter,35408001.0,SNOMED,bacteria,23,,
Clamidia,16241000.0,SNOMED,bacteria,24,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,25,,
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,26,,
citrobacter,75972000.0,SNOMED,bacteria,27,,
Citrobacter braakii,114262000.0,SNOMED,bacteria,28,,
citrobacter freundii,6265002.0,SNOMED,bacteria,29,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,30,,
clostridio botulínico,13080008.0,SNOMED,bacteria,31,,
Clostridium difficile,5933001.0,SNOMED,bacteria,32,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,33,,
Clostridium tetani,30917009.0,SNOMED,bacteria,34,,
Estafilococos coagulasa negativos,116197008.0,SNOMED,bacteria,35,,
Bacterias coliformes,77309002.0,SNOMED,bacteria,36,,
corinebacteria,77086004.0,SNOMED,bacteria,37,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,38,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,39,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,40,,
Corynebacterium estriado,63815007.0,SNOMED,bacteria,41,,
corynebacterium ulcerans,103428000.0,SNOMED,bacteria,42,,
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,43,,
criptococo,17579001.0,SNOMED,bacteria,44,,
Criptococo neoformans,67168003.0,SNOMED,bacteria,45,,
Delftía,416493002.0,SNOMED,bacteria,46,,
Delftia acidovorans,20432002.0,SNOMED,bacteria,47,,
Dermabacter,413976002.0,SNOMED,bacteria,48,,
difteroide,54642001.0,SNOMED,bacteria,49,,
Eggerthella,414075007.0,SNOMED,bacteria,50,,
Elizabethkingia,426244005.0,SNOMED,bacteria,51,,
bacterias entéricas,106544002.0,SNOMED,bacteria,52,,
enterobacteria,58683007.0,SNOMED,bacteria,53,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,54,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,55,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,56,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,57,,
Complejo enterobacter cloacae,414102007.0,SNOMED,bacteria,58,,
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,59,,
Enterobacter kobei,114456008.0,SNOMED,bacteria,60,,
enterobacterias,106544002.0,SNOMED,bacteria,61,,
enterococo,2785000.0,SNOMED,bacteria,62,,
enterococo avium,87875008.0,SNOMED,bacteria,63,,
enterococo faecalis,78065002.0,SNOMED,bacteria,64,,
enterococo faecium,90272000.0,SNOMED,bacteria,65,,
Enterococo rafinoso,103437000.0,SNOMED,bacteria,66,,
escherichia,64735005.0,SNOMED,bacteria,67,,
Escherichia coli,112283007.0,SNOMED,bacteria,68,,
Francisella tularensis,51526001.0,SNOMED,bacteria,69,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,70,,
Bacilo Gram Negativo,87172008.0,SNOMED,bacteria,71,,
Bacilo Gram Positivo,83514008.0,SNOMED,bacteria,72,,
Cocos Gram positivos,59206002.0,SNOMED,bacteria,73,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,74,,
Haemophilus,71268004.0,SNOMED,bacteria,75,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,76,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,77,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,78,,
Hafnia alvei,76694001.0,SNOMED,bacteria,79,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,80,,
Klebsiella,75032006.0,SNOMED,bacteria,81,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,82,,
Klebsiella oxitoca,40886007.0,SNOMED,bacteria,83,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,84,,
"Klebsiella pneumoniae, BLEE",409801009.0,SNOMED,bacteria,85,,
Klebsiella varicola,431976004.0,SNOMED,bacteria,86,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,87,,
Legionella,7527002.0,SNOMED,bacteria,89,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,90,,
Interrogantes de Leptospira,116401006.0,SNOMED,bacteria,91,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,92,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001.0,SNOMED,bacteria,93,,
Staphylococcus aureus sensible a la meticilina (MSSA),417943000.0,SNOMED,bacteria,94,,
micrococo,52864008.0,SNOMED,bacteria,95,,
micrococo lúteo,48299003.0,SNOMED,bacteria,96,,
mirabilis,79589007.0,SNOMED,bacteria,97,,
moraxella,36361003.0,SNOMED,bacteria,98,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,100,,
Morganela,50713005.0,SNOMED,bacteria,101,,
Morganella morganii,243301005.0,SNOMED,bacteria,102,,
micobacteria,243368001.0,SNOMED,bacteria,103,,
micobacteria lepra,58242002.0,SNOMED,bacteria,104,,
micobacteria tuberculosis,113861009.0,SNOMED,bacteria,105,,
"Mycobacterium, no tuberculosis",110379001.0,SNOMED,bacteria,106,,
Micoplasma agalactiae,16377009.0,SNOMED,bacteria,107,,
micoplasma neumonía,58720004.0,SNOMED,bacteria,108,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,109,,
Nocardia asteroides,30092002.0,SNOMED,bacteria,110,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,111,,
propionibacteria,34844008.0,SNOMED,bacteria,112,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,113,,
Proteo,50517009.0,SNOMED,bacteria,114,,
proteus mirabilis,73457008.0,SNOMED,bacteria,115,,
Proteo vulgar,45834001.0,SNOMED,bacteria,116,,
Providencia retgeri,14196002.0,SNOMED,bacteria,117,,
Providencia stuartii,1445008.0,SNOMED,bacteria,118,,
Pseudomonas,57032008.0,SNOMED,bacteria,119,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,120,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,121,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,122,,
Raoultella,417468005.0,SNOMED,bacteria,123,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,124,,
Raoultella planticola,416264004.0,SNOMED,bacteria,125,,
Salmonela,27268008.0,SNOMED,bacteria,126,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,127,,
Serratía,42025004.0,SNOMED,bacteria,128,,
Serratia liquefaciens,23787004.0,SNOMED,bacteria,129,,
