Country,Region,Income group,Code,Selected,Value
Afghanistan,Latin America & Caribbean,High income,ABW,,1
Îles Aland,South Asia,Low income,AFG,,2
Albanie,Sub-Saharan Africa,Lower middle income,AGO,,3
Algérie,Europe & Central Asia,Upper middle income,ALB,,4
Samoa américaines,Europe & Central Asia,High income,AND,,5
Andorre,Middle East & North Africa,High income,ARE,,6
Angola,Latin America & Caribbean,Upper middle income,ARG,,7
Anguilla,Europe & Central Asia,Upper middle income,ARM,,8
Antarctique,East Asia & Pacific,High income,ASM,,9
Antigua-et-Barbuda,Latin America & Caribbean,High income,ATG,,10
Argentine,East Asia & Pacific,High income,AUS,,11
Arménie,Europe & Central Asia,High income,AUT,,12
Aruba,Europe & Central Asia,Upper middle income,AZE,,13
Australie,Sub-Saharan Africa,Low income,BDI,,14
Autriche,Europe & Central Asia,High income,BEL,,15
Azerbaïdjan,Sub-Saharan Africa,Lower middle income,BEN,,16
Bahreïn,Sub-Saharan Africa,Low income,BFA,,17
Bangladesh,South Asia,Lower middle income,BGD,,18
Barbade,Europe & Central Asia,Upper middle income,BGR,,19
Biélorussie,Middle East & North Africa,High income,BHR,,20
Belgique,Latin America & Caribbean,High income,BHS,,21
Bélize,Europe & Central Asia,Upper middle income,BIH,,22
Bénin,Europe & Central Asia,Upper middle income,BLR,,23
Bermudes,Latin America & Caribbean,Upper middle income,BLZ,,24
Bhoutan,North America,High income,BMU,,25
Bolivie,Latin America & Caribbean,Lower middle income,BOL,,26
"Bonaire, Saint-Eustache et Saba",Latin America & Caribbean,Upper middle income,BRA,,27
Bosnie-Herzégovine,Latin America & Caribbean,High income,BRB,,28
Botswana,East Asia & Pacific,High income,BRN,,29
Île Bouvet,South Asia,Lower middle income,BTN,,30
Brésil,Sub-Saharan Africa,Upper middle income,BWA,,31
Territoire britannique de l'océan Indien,Sub-Saharan Africa,Low income,CAF,,32
Brunéi,North America,High income,CAN,,33
Bulgarie,Europe & Central Asia,High income,CHE,,34
Burkina Faso,Europe & Central Asia,High income,CHI,,35
Burundi,Latin America & Caribbean,High income,CHL,,36
Cambodge,East Asia & Pacific,Upper middle income,CHN,,37
Cameroun,Sub-Saharan Africa,Lower middle income,CIV,,38
Canada,Sub-Saharan Africa,Lower middle income,CMR,,39
Cap-Vert,Sub-Saharan Africa,Low income,COD,,40
Îles Caïmans,Sub-Saharan Africa,Lower middle income,COG,,41
République centrafricaine,Latin America & Caribbean,Upper middle income,COL,,42
Tchad,Sub-Saharan Africa,Lower middle income,COM,,43
Chili,Sub-Saharan Africa,Lower middle income,CPV,,44
Chine,Latin America & Caribbean,Upper middle income,CRI,,45
