Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis
presentación,,subjid,text,Número de identificación del participante (PIN),,,,,,,,El número de identificación del participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación del participante (PIN).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
presentación,CRITERIOS DE INCLUSIÓN,inclu_disease,user_list,Infección sospechada o confirmada,,,,,inclusion_Diseases,,,Se refiere a cualquier infección sospechosa o confirmada.,"Si se sospecha más de una infección, seleccione la más probable y complete la sección PRUEBAS DE PATÓGENOS con la confirmación del laboratorio.",,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_reason,radio,¿Es la infección sospechada o confirmada el motivo del ingreso hospitalario?,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere a si la infección sospechosa o confirmada por el patógeno de interés es el motivo (indicación) del ingreso hospitalario.,Indique «Sí» si se sospecha o se confirma la infección por el patógeno de interés si es el motivo (indicación) del ingreso hospitalario. Indique «No» si la infección sospechada o confirmada por el patógeno de interés no es el motivo (indicación) del ingreso hospitalario.,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_case,radio,Estado del caso,"1, Confirmado | 2, Probable | 3, Sospechoso | 4, Descartado | 5, Error",,,,,,,"Confirmado se refiere a un caso confirmado por laboratorio y que puede cumplir los criterios clínicos descritos en la definición del caso. Probable se refiere a una enfermedad clínicamente compatible que está relacionada epidemiológicamente con un caso confirmado sin confirmación de laboratorio de la infección por el patógeno de interés. Sospechoso se refiere a una enfermedad clínicamente compatible sin relación epidemiológica ni confirmación de laboratorio. Descartado se refiere a un paciente con una prueba de laboratorio negativa y que no cumple los criterios para ser considerado un caso sospechoso, probable o confirmado. ",Seleccione la opción más adecuada que represente el estado del caso. ,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_testreason,radio,Motivo por el que se realizó la prueba al paciente,"1, Sintomático | 2, Asintomático, rastreado | 3, Asintomático, campaña de pruebas masivas | 4, No se ha realizado la prueba",,,,,,,Se refiere al motivo por el que se realizó la prueba del patógeno de interés al paciente.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba del patógeno de interés al paciente.,,,,,,,,,,1.0,1.0,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_testreason_otth,text,Especifique otro motivo.,,,,,,[inclu_testreason]='88',,Se refiere al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.,,,,,,,,,,1.0,1.0,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentdes,descriptive,Consentimiento:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent,radio,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, Sí | 0, No, el participante no aceptó participar en el estudio | 2, No, el comité de ética aprobó una exención del consentimiento | 99, Desconocido",,,,,,,Se refiere al consentimiento informado del paciente o su representante para participar en este estudio.,Indique «Sí» si el paciente o su representante han dado su consentimiento informado para participar en este estudio.,SNOMED,"61861000000100,  Consent (record artifact)","C5702721, Consent (record artifact)",,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_date,date_dmy,Fecha del consentimiento,,date_dmy,,today,,[inclu_consent]='1',,Se refiere a la fecha en la que se obtuvo el consentimiento informado para la inclusión de los participantes en este estudio.,Escriba la fecha en la que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Utilice el formato DD/MM/AAAA.,,,"C2985782, Informed Consent Date",,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_who,radio,Consentimiento otorgado por,"1, Participante | 2, Padre/madre/tutor | 3, Persona consultada | 4, Médico independiente",,,,,[inclu_consent]='1',,Se refiere a quién dio el consentimiento para participar en este estudio.,Seleccione la opción más adecuada que represente quién dio el consentimiento para participar en este estudio.,,,,,,,,,,,,,,,,,,,,
