Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_User Generated CRF_Encephalitis,Unnamed: 8,Value
"Acetylsalicylic acid (Aspirin, Ascriptin, Ecotrin)",N02BA01, ATC     ,1,1,1,1,1.0,,1
Celecoxib (Celebrex), M01AH01 , ATC     ,1,1,1,1,1.0,,2
"Diclofenac (Voltaren, Cataflam)", M01AB05 , ATC     ,1,1,1,1,1.0,,3
Etoricoxib (Arcoxia), M01AH05 , ATC     , , , , ,,,4
"Flurbiprofen (Ansaid, Ocufen)", M01AE09 , ATC     , , , , ,1.0,,5
"Ibuprofen (Advil, Motrin)", M01AE01 , ATC     ,1,1,1,1,1.0,,6
Indomethacin (Indocin), M01AB01 , ATC     ,1,1,1,1,1.0,,7
"Ketoprofen (Orudis, Oruvail)", M01AE03 , ATC     , , , , ,,,8
Ketorolac (Toradol), M01AB15 , ATC     , , , , ,,,9
Mefenamic Acid (Ponstel), M01AG01 , ATC     , , , , ,1.0,,10
Meloxicam (Mobic), M01AC06 , ATC     , , , , ,,,11
Nabumetone (Relafen), M01AX01 , ATC     , , , , ,,,12
"Naproxen (Aleve, Naprosyn)", M01AE02 , ATC     ,1,1,1,1,1.0,,13
Piroxicam (Feldene), M01AC01 , ATC     , , ,, ,,,14
Sulindac (Clinoril), M01AB02 , ATC     , , ,, ,,,15
